BOOT_TIME_EPOCH1688710950070
BOOT_UPTIME_MILLIS 4939973
time, accel_x, accel_y, accel_z
4964854, -4.0701427, 0.21068975, 8.949526
4964864, -4.1371803, 0.16759412, 9.016563
4964877, -4.1611223, 0.12928689, 9.14585
4964884, -4.247314, 0.05746084, 9.165004
4964894, -4.3143516, 0.07182605, 9.069236
4964904, -4.271256, 0.07182605, 8.983045
4964914, -4.280833, 0.10534488, 8.848969
4964927, -4.256891, 0.12928689, 8.796297
4964934, -4.237737, 0.1436521, 8.7532015
4964944, -4.156334, 0.22026655, 8.781932
4964954, -4.256891, 0.21547815, 8.690952
4964964, -4.280833, 0.22026655, 8.710106
4964977, -4.2521024, 0.20590134, 8.820239
4964984, -4.271256, 0.23463176, 8.853758
4964994, -4.1802764, 0.21547815, 8.75799
4965004, -4.0462008, 0.22505496, 8.748413
4965014, -4.0174704, 0.24899697, 8.791509
4965026, -4.036624, 0.2777274, 8.858546
4965034, -4.1132383, 0.2873042, 8.8777
4965044, -4.2042184, 0.320823, 8.810662
4965054, -4.209007, 0.37828386, 8.767567
4965064, -4.0892963, 0.39264908, 8.767567
4965074, -4.10845, 0.35913026, 8.887277
4965084, -4.1706996, 0.34955344, 8.90643
4965094, -4.122815, 0.35913026, 8.911219
4965104, -4.1180267, 0.35434186, 8.90643
4965114, -4.0557775, 0.3878607, 8.738836
4965124, -4.036624, 0.35913026, 8.6813755
4965134, -4.074931, 0.33518824, 8.75799
4965144, -4.1515455, 0.25857377, 8.963891
4965154, -4.247314, 0.17717093, 9.14585
4965164, -4.237737, 0.15801731, 9.227253
4965177, -4.185065, 0.10534488, 9.212888
4965184, -4.1419687, 0.1436521, 9.26556
4965194, -4.1659107, 0.095768064, 9.294291
4965204, -4.1419687, 0.08140286, 9.179369
4965214, -4.213795, 0.05746084, 9.088389
4965227, -4.3287168, 0.023942016, 9.002198
4965234, -4.3718123, 0.033518825, 8.848969
4965244, -4.3957543, 0.07182605, 8.858546
4965254, -4.295198, 0.14844051, 8.848969
4965264, -4.295198, 0.1388637, 8.78672
4965276, -4.280833, 0.20111294, 8.738836
4965284, -4.295198, 0.25378537, 8.7292595
4965294, -4.2425256, 0.29688102, 8.7053175
4965304, -4.295198, 0.30166942, 8.686164
4965314, -4.271256, 0.2825158, 8.7053175
4965326, -4.280833, 0.33997664, 8.748413
4965334, -4.261679, 0.35434186, 8.820239
4965344, -4.3143516, 0.34955344, 8.734048
4965354, -4.271256, 0.33997664, 8.686164
4965364, -4.280833, 0.33518824, 8.595184
4965377, -4.2042184, 0.33039984, 8.585608
4965384, -4.1706996, 0.31124622, 8.63828
4965394, -4.2042184, 0.29209262, 8.738836
4965404, -4.2904096, 0.2777274, 8.839393
4965414, -4.2904096, 0.21547815, 8.863335
4965427, -4.3382936, 0.22984336, 8.939949
4965434, -4.247314, 0.21068975, 8.944737
4965444, -4.156334, 0.20590134, 8.887277
4965454, -4.232949, 0.18674773, 8.911219
4965464, -4.3239284, 0.22026655, 9.030929
4965481, -4.3766007, 0.16280572, 9.016563
4965484, -4.3382936, 0.17238252, 8.963891
4965494, -4.2999864, 0.23942018, 8.848969
4965504, -4.189853, 0.31603462, 8.738836
4965514, -4.1659107, 0.24420857, 8.595184
4965526, -4.2042184, 0.2633622, 8.6095495
4965534, -4.2999864, 0.31124622, 8.652645
4965544, -4.3622355, 0.31603462, 8.623915
4965554, -4.3143516, 0.33039984, 8.595184
4965564, -4.237737, 0.31124622, 8.513782
4965576, -4.280833, 0.25378537, 8.528147
4965584, -4.3382936, 0.24899697, 8.571242
4965594, -4.3239284, 0.22026655, 8.619126
4965604, -4.3766007, 0.21068975, 8.743625
4965614, -4.3526587, 0.17717093, 8.892065
4965626, -4.232949, 0.19632454, 9.222465
4965634, -4.175488, 0.095768064, 9.782708
4965644, -4.0701427, -0.047884032, 10.534488
4965654, -4.084508, -0.18195933, 10.840945
4965664, -3.8163576, -0.18674773, 10.0029745
4965676, -3.845088, 0.038307227, 9.14585
4965684, -4.0174704, 0.08619126, 8.566454
4965694, -4.19943, 0.16759412, 8.394072
4965704, -4.462792, 0.21068975, 8.317456
4965714, -4.663905, 0.21068975, 8.207323
4965724, -4.6686935, 0.24899697, 8.149862
4965734, -4.7740383, 0.2777274, 8.178593
4965744, -4.793192, 0.31603462, 8.2169
4965754, -4.7500963, 0.29688102, 8.293514
4965764, -4.654328, 0.33518824, 8.360553
4965775, -4.596867, 0.33518824, 8.432379
4965784, -4.4580035, 0.40701428, 8.461109
4965794, -4.3239284, 0.40222588, 8.595184
4965804, -4.223372, 0.39264908, 8.690952
4965814, -4.1276035, 0.45968673, 8.748413
4965824, -4.0557775, 0.45010993, 8.887277
4965835, -4.027047, 0.4405331, 9.011775
4965844, -4.036624, 0.4405331, 9.059659
4965855, -4.0222588, 0.39743748, 9.107543
4965865, -3.8642416, 0.45968673, 9.107543
4965874, -3.8115692, 0.4357447, 9.11712
4965884, -3.845088, 0.40222588, 9.083601
4965894, -3.821146, 0.4357447, 9.083601
4965904, -3.7972038, 0.4309563, 9.050082
4965915, -3.8402996, 0.4261679, 9.11712
4965924, -3.821146, 0.4261679, 9.102755
4965935, -3.8594532, 0.49320555, 9.155427
4965945, -3.8642416, 0.46926352, 9.093178
4965955, -3.9312792, 0.46926352, 9.097966
4965965, -3.9935284, 0.4357447, 9.011775
4965974, -4.0078936, 0.45489833, 8.90643
4965985, -4.027047, 0.4309563, 8.872911
4965995, -3.9983168, 0.47405192, 8.858546
4966004, -3.9456444, 0.44532153, 8.848969
4966015, -3.9504328, 0.41180268, 8.892065
4966025, -3.916914, 0.4309563, 8.916007
4966035, -3.940856, 0.41180268, 8.983045
4966044, -3.9600096, 0.38307226, 9.045294
4966055, -3.9552212, 0.37828386, 9.083601
4966065, -3.916914, 0.35913026, 9.045294
4966075, -4.0222588, 0.39264908, 9.045294
4966085, -4.0892963, 0.31124622, 9.064447
4966095, -4.1946416, 0.35434186, 9.021352
4966105, -4.2042184, 0.33518824, 9.02614
4966115, -4.185065, 0.33997664, 8.954314
4966125, -4.1515455, 0.30645782, 8.90643
4966135, -4.1180267, 0.30166942, 8.901642
4966145, -4.156334, 0.2777274, 8.916007
4966155, -4.1706996, 0.2777274, 8.935161
4966165, -4.1611223, 0.30645782, 9.011775
4966175, -4.189853, 0.31603462, 8.978256
4966185, -4.1802764, 0.30166942, 8.892065
4966195, -4.185065, 0.33039984, 8.805874
4966205, -4.1659107, 0.34955344, 8.748413
4966215, -4.1946416, 0.35434186, 8.714894
4966225, -4.209007, 0.35434186, 8.7771435
4966235, -4.271256, 0.29688102, 8.738836
4966245, -4.223372, 0.40701428, 8.7292595
4966255, -4.1946416, 0.41180268, 8.762778
4966265, -4.084508, 0.34955344, 8.75799
4966275, -4.003105, 0.40701428, 8.734048
4966285, -4.0222588, 0.4309563, 8.75799
4966295, -3.9073372, 0.40701428, 8.834604
4966305, -3.940856, 0.36870706, 8.916007
4966315, -3.8881836, 0.320823, 8.963891
4966325, -3.8259344, 0.23942018, 8.973468
4966335, -3.8498764, 0.1340753, 8.99741
4966345, -3.9695864, 0.1436521, 9.045294
4966355, -4.1132383, 0.1436521, 9.126697
4966365, -4.2042184, 0.12449849, 9.126697
4966375, -4.343082, 0.08140286, 9.155427
4966385, -4.414908, 0.1388637, 9.179369
4966395, -4.510676, 0.16759412, 9.165004
4966405, -4.462792, 0.23942018, 9.078813
4966415, -4.390966, 0.3878607, 9.083601
4966425, -4.1946416, 0.50278234, 9.002198
4966435, -4.036624, 0.5363012, 8.829816
4966445, -3.916914, 0.5554548, 8.810662
4966455, -3.9312792, 0.41180268, 8.887277
4966465, -3.9121256, 0.4165911, 8.863335
4966475, -3.9360676, 0.36391866, 8.90643
4966485, -3.916914, 0.30166942, 8.968679
4966495, -3.9935284, 0.30645782, 8.978256
4966505, -3.98874, 0.31124622, 8.99741
4966515, -3.9600096, 0.33997664, 9.040505
4966525, -3.916914, 0.37349546, 9.030929
4966535, -3.8977604, 0.39743748, 9.006987
4966545, -3.8546648, 0.39264908, 8.916007
4966555, -3.9073372, 0.4165911, 8.781932
4966565, -3.8881836, 0.40222588, 8.710106
4966575, -3.8259344, 0.44532153, 8.662222
4966585, -3.86903, 0.4357447, 8.652645
4966595, -3.8786068, 0.3878607, 8.686164
4966605, -3.892972, 0.38307226, 8.772355
4966615, -3.8881836, 0.41180268, 8.834604
4966625, -3.9743748, 0.46447513, 8.839393
4966635, -3.964798, 0.4405331, 8.882488
4966645, -3.9839516, 0.46926352, 8.930372
4966655, -3.98874, 0.4165911, 8.983045
4966665, -3.9456444, 0.4405331, 9.002198
4966675, -3.9073372, 0.39743748, 8.983045
4966685, -3.8881836, 0.34955344, 9.093178
4966695, -3.8642416, 0.30166942, 9.107543
4966705, -3.9264908, 0.25378537, 9.121908
4966715, -3.9695864, 0.23942018, 9.141062
4966725, -3.9073372, 0.20590134, 9.208099
4966735, -3.9360676, 0.1340753, 9.212888
4966745, -3.9743748, 0.19153613, 9.217676
4966755, -3.9552212, 0.11971009, 9.198523
4966765, -4.0892963, 0.18195933, 9.093178
4966775, -4.0653543, 0.18195933, 9.217676
4966785, -4.0557775, 0.14844051, 9.3182335
4966795, -4.060566, 0.16280572, 9.26556
4966805, -4.0653543, 0.15801731, 9.222465
4966815, -4.036624, 0.18674773, 9.165004
4966825, -4.084508, 0.15801731, 9.006987
4966835, -4.060566, 0.21547815, 8.983045
4966845, -4.1515455, 0.21547815, 8.925584
4966855, -4.1419687, 0.2777274, 8.829816
4966865, -4.1371803, 0.2825158, 8.748413
4966875, -4.1706996, 0.29209262, 8.671799
4966885, -4.1515455, 0.33997664, 8.714894
4966895, -4.1036615, 0.38307226, 8.647857
4966905, -4.0701427, 0.33039984, 8.623915
4966915, -3.9935284, 0.35913026, 8.686164
4966925, -3.9983168, 0.34476504, 8.724471
4966935, -3.9695864, 0.34955344, 8.805874
4966945, -3.940856, 0.31603462, 8.858546
4966955, -3.9264908, 0.29688102, 8.930372
4966965, -3.9217024, 0.29688102, 9.006987
4966975, -3.9456444, 0.29209262, 9.045294
4966985, -3.9983168, 0.2777274, 9.112331
4966995, -3.9935284, 0.24899697, 9.169792
4967005, -3.9360676, 0.2777274, 9.198523
4967015, -3.940856, 0.25857377, 9.169792
4967025, -3.8881836, 0.272939, 9.069236
4967035, -3.8067808, 0.2681506, 9.045294
4967045, -3.8163576, 0.2873042, 9.035717
4967055, -3.86903, 0.31124622, 8.963891
4967065, -3.8642416, 0.31603462, 8.954314
4967075, -3.8881836, 0.31124622, 8.930372
4967085, -3.9504328, 0.29209262, 8.930372
4967095, -3.9264908, 0.31603462, 8.90643
4967105, -3.9935284, 0.30645782, 8.987833
4967115, -4.0174704, 0.272939, 9.030929
4967125, -4.012682, 0.22984336, 9.016563
4967135, -3.9983168, 0.21547815, 8.987833
4967145, -3.9600096, 0.23942018, 9.02614
4967155, -3.9791632, 0.23463176, 8.963891
4967165, -3.9695864, 0.21068975, 8.920795
4967175, -4.0078936, 0.22984336, 8.896853
4967185, -4.0797195, 0.21068975, 8.959103
4967195, -4.1802764, 0.20111294, 9.006987
4967205, -4.1611223, 0.17238252, 8.983045
4967215, -4.156334, 0.15322891, 8.920795
4967225, -4.0797195, 0.17238252, 8.920795
4967235, -4.050989, 0.18674773, 8.978256
4967245, -4.050989, 0.20111294, 8.920795
4967255, -4.027047, 0.18195933, 8.920795
4967265, -4.036624, 0.18674773, 8.868123
4967275, -4.122815, 0.17238252, 8.825027
4967285, -4.1036615, 0.19632454, 8.748413
4967295, -4.1419687, 0.17717093, 8.78672
4967305, -4.209007, 0.18674773, 8.839393
4967315, -4.189853, 0.18195933, 8.796297
4967325, -4.1371803, 0.23463176, 8.8777
4967335, -4.1036615, 0.18195933, 8.90643
4967345, -4.0414124, 0.18674773, 8.925584
4967355, -4.003105, 0.19632454, 8.892065
4967365, -3.9983168, 0.16759412, 8.872911
4967375, -4.012682, 0.14844051, 8.815451
4967385, -4.122815, 0.21547815, 8.781932
4967395, -4.0892963, 0.17238252, 8.911219
4967405, -4.0414124, 0.12449849, 9.030929
4967415, -3.9360676, 0.15322891, 9.059659
4967425, -3.9552212, 0.16280572, 9.083601
4967435, -3.916914, 0.1388637, 9.160215
4967445, -3.9217024, 0.14844051, 9.232041
4967455, -3.8786068, 0.14844051, 9.217676
4967465, -3.916914, 0.110133275, 9.184157
4967475, -4.012682, 0.15322891, 9.179369
4967485, -4.012682, 0.18674773, 9.136273
4967495, -4.036624, 0.15322891, 9.093178
4967505, -4.0797195, 0.14844051, 9.074024
4967515, -4.1036615, 0.17717093, 9.045294
