BOOT_TIME_EPOCH 1546494242777
BOOT_UPTIME_MILLIS 135913
time, touch_ID, touch_x, touch_y, touch_max_diameter, touch_min_diameter, touch_area, touch_pressure
162515, 0, 1623.3892, 101.59728, 4.0, 4.0, 12.566370614359172, 1.0
162518, 0, 1625.0, 102.0, 4.0, 3.0, 9.42477796076938, 1.0
162526, 0, 1628.0, 102.0, 4.0, 3.0, 9.42477796076938, 1.0
162531, 0, 1630.3474, 102.58685, 4.0, 3.0, 9.42477796076938, 1.0
162535, 0, 1632.0, 103.0, 4.0, 4.0, 12.566370614359172, 1.0
162543, 0, 1635.0, 104.0, 4.0, 4.0, 12.566370614359172, 1.0
162548, 0, 1636.7211, 104.0, 4.0, 4.0, 12.566370614359172, 1.0
162551, 0, 1638.0, 104.0, 4.0, 4.0, 12.566370614359172, 1.0
162560, 0, 1642.0, 105.0, 4.0, 4.0, 12.566370614359172, 1.0
162564, 0, 1643.5448, 105.51495, 4.0, 4.0, 12.566370614359172, 1.0
162568, 0, 1645.0, 106.0, 4.0, 4.0, 12.566370614359172, 1.0
162577, 0, 1649.0, 107.0, 4.0, 4.0, 12.566370614359172, 1.0
162581, 0, 1650.5485, 108.03232, 4.0, 4.0, 12.566370614359172, 1.0
162585, 0, 1652.0, 109.0, 4.0, 4.0, 12.566370614359172, 1.0
162593, 0, 1655.0, 110.0, 4.0, 4.0, 12.566370614359172, 1.0
162598, 0, 1657.024, 111.012024, 4.0, 4.0, 12.566370614359172, 1.0
162602, 0, 1659.0, 112.0, 4.0, 4.0, 12.566370614359172, 1.0
162611, 0, 1662.0, 113.0, 4.0, 4.0, 12.566370614359172, 1.0
162614, 0, 1663.2272, 113.40905, 4.0, 4.0, 12.566370614359172, 1.0
162619, 0, 1665.0, 115.0, 3.0, 3.0, 7.0685834705770345, 1.0
162627, 0, 1668.0, 116.0, 3.0, 3.0, 7.0685834705770345, 1.0
162631, 0, 1669.8618, 116.93092, 3.0, 3.0, 7.0685834705770345, 1.0
162636, 0, 1672.0, 118.0, 3.0, 3.0, 7.0685834705770345, 1.0
162644, 0, 1675.0, 119.0, 4.0, 3.0, 9.42477796076938, 1.0
